year,industry1,industry2,job_vacancy
2010,services,wholesale and retail trade,4800
2010,services,transportation and storage,3100
2010,services,accommodation and food services,3900
2010,services,information and communications,1400
2010,services,financial and insurance services,2500
2010,services,real estate services,1400
2010,services,professional services,2000
2010,services,administrative and support services,3200
2010,services,"community, social and personal services",10600
2010,others,others,400
2011,manufacturing,"food, beverages and tobacco",700
2011,manufacturing,"paper,rubber,plastic products and printing",500
2011,manufacturing,"petroleum, chemical and pharmaceutical products",400
2011,manufacturing,"fabricated metal products, machinery and equipment",2100
2011,manufacturing,"electronic, computer and optical products",2400
2011,manufacturing,transport equipment,2100
2011,manufacturing,other manufacturing industries,700
2011,construction,construction,3600
2011,services,wholesale and retail trade,5700
2011,services,transportation and storage,3500
2011,services,accommodation and food services,4300
2011,services,information and communications,1700
2011,services,financial and insurance services,2800
2011,services,real estate services,1900
2011,services,professional services,2500
2011,services,administrative and support services,4500
2011,services,"community, social and personal services",12600
2011,others,others,600
2012,manufacturing,"food, beverages and tobacco",500
2012,manufacturing,"paper,rubber,plastic products and printing",400
2012,manufacturing,"petroleum, chemical and pharmaceutical products",400
2012,manufacturing,"fabricated metal products, machinery and equipment",2100
2012,manufacturing,"electronic, computer and optical products",1700
2012,manufacturing,transport equipment,1200
2012,manufacturing,other manufacturing industries,700
2012,construction,construction,3400
2012,services,wholesale and retail trade,5900
2012,services,transportation and storage,3300
2012,services,accommodation and food services,4900
2012,services,information and communications,1500
2012,services,financial and insurance services,2500
2012,services,real estate services,1800
2012,services,professional services,2500
2012,services,administrative and support services,3700
2012,services,"community, social and personal services",11200
2012,others,others,800
2013,manufacturing,"food, beverages and tobacco",700
2013,manufacturing,"paper,rubber,plastic products and printing",500
2013,manufacturing,"petroleum, chemical and pharmaceutical products",500
2013,manufacturing,"fabricated metal products, machinery and equipment",2100
2013,manufacturing,"electronic, computer and optical products",1700
2013,manufacturing,transport equipment,1400
2013,manufacturing,other manufacturing industries,900
2013,construction,construction,3800
2013,services,wholesale and retail trade,7000
2013,services,transportation and storage,3800
2013,services,accommodation and food services,6200
2013,services,information and communications,1700
2013,services,financial and insurance services,2800
2013,services,real estate services,2100
2013,services,professional services,2900
2013,services,administrative and support services,4400
2013,services,"community, social and personal services",12400
2013,others,others,600
2014,manufacturing,"food, beverages and tobacco",800
2014,manufacturing,"paper,rubber,plastic products and printing",500
2014,manufacturing,"petroleum, chemical and pharmaceutical products",500
2014,manufacturing,"fabricated metal products, machinery and equipment",2200
2014,manufacturing,"electronic, computer and optical products",2000
2014,manufacturing,transport equipment,1600
2014,manufacturing,other manufacturing industries,800
2014,construction,construction,3600
2014,services,wholesale and retail trade,7900
2014,services,transportation and storage,4200
2014,services,accommodation and food services,7400
2014,services,information and communications,2400
2014,services,financial and insurance services,3800
2014,services,real estate services,2300
2014,services,professional services,3500
2014,services,administrative and support services,5400
2014,services,"community, social and personal services",13700
2014,others,others,500
2015,manufacturing,"food, beverages and tobacco",800
2015,manufacturing,"paper,rubber,plastic products and printing",400
2015,manufacturing,"petroleum, chemical and pharmaceutical products",500
2015,manufacturing,"fabricated metal products, machinery and equipment",1400
2015,manufacturing,"electronic, computer and optical products",1900
2015,manufacturing,transport equipment,1200
2015,manufacturing,other manufacturing industries,800
2015,construction,construction,2900
2015,services,wholesale and retail trade,7200
2015,services,transportation and storage,3800
2015,services,accommodation and food services,7200
2015,services,information and communications,2800
2015,services,financial and insurance services,3700
2015,services,real estate services,2200
2015,services,professional services,4100
2015,services,administrative and support services,5300
2015,services,"community, social and personal services",12600
2015,others,others,500
2016,manufacturing,"food, beverages and tobacco",600
2016,manufacturing,"paper,rubber,plastic products and printing",300
2016,manufacturing,"petroleum, chemical and pharmaceutical products",400
2016,manufacturing,"fabricated metal products, machinery and equipment",1100
2016,manufacturing,"electronic, computer and optical products",1900
2016,manufacturing,transport equipment,800
2016,manufacturing,other manufacturing industries,800
2016,construction,construction,2000
2016,services,wholesale and retail trade,6200
2016,services,transportation and storage,2900
2016,services,accommodation and food services,5700
2016,services,information and communications,2800
2016,services,financial and insurance services,3200
2016,services,real estate services,1500
2016,services,professional services,3300
2016,services,administrative and support services,4900
2016,services,"community, social and personal services",10800
2016,others,others,400
2017,manufacturing,"food, beverages and tobacco",600
2017,manufacturing,"paper,rubber,plastic products and printing",300
2017,manufacturing,"petroleum, chemical and pharmaceutical products",400
2017,manufacturing,"fabricated metal products, machinery and equipment",1200
2017,manufacturing,"electronic, computer and optical products",2500
2017,manufacturing,transport equipment,900
2017,manufacturing,other manufacturing industries,500
2017,construction,construction,1700
2017,services,wholesale and retail trade,5800
2017,services,transportation and storage,3300
2017,services,accommodation and food services,5300
2017,services,information and communications,3000
2017,services,financial and insurance services,4200
2017,services,real estate services,1100
2017,services,professional services,2800
2017,services,administrative and support services,4700
2017,services,"community, social and personal services",9900
2017,others,others,400
2018,manufacturing,"food, beverages and tobacco",700
2018,manufacturing,"paper,rubber,plastic products and printing",400
2018,manufacturing,"petroleum, chemical and pharmaceutical products",700
2018,manufacturing,"fabricated metal products, machinery and equipment",1600
2018,manufacturing,"electronic, computer and optical products",2300
2018,manufacturing,transport equipment,1600
2018,manufacturing,other manufacturing industries,900
2018,construction,construction,3000
2018,services,wholesale and retail trade,6500
2018,services,transportation and storage,3900
2018,services,accommodation and food services,5900
2018,services,information and communications,3900
2018,services,financial and insurance services,5000
2018,services,real estate services,1200
2018,services,professional services,4000
2018,services,administrative and support services,5000
2018,services,"community, social and personal services",10700
2018,others,others,400
2019,manufacturing,"food, beverages and tobacco",700
2019,manufacturing,"paper,rubber,plastic products and printing",300
2019,manufacturing,"petroleum, chemical and pharmaceutical products",700
2019,manufacturing,"fabricated metal products, machinery and equipment",1300
2019,manufacturing,"electronic, computer and optical products",1700
2019,manufacturing,transport equipment,1300
2019,manufacturing,other manufacturing industries,700
2019,construction,construction,2300
2019,services,wholesale and retail trade,5400
2019,services,transportation and storage,3000
2019,services,accommodation and food services,5900
2019,services,information and communications,4100
2019,services,financial and insurance services,5300
2019,services,real estate services,1300
2019,services,professional services,3900
2019,services,administrative and support services,3900
2019,services,"community, social and personal services",10800
2019,others,others,400
2020,manufacturing,"food, beverages and tobacco",800
2020,manufacturing,"paper,rubber,plastic products and printing",300
2020,manufacturing,"petroleum, chemical and pharmaceutical products",500
2020,manufacturing,"fabricated metal products, machinery and equipment",1000
2020,manufacturing,"electronic, computer and optical products",1600
2020,manufacturing,transport equipment,500
2020,manufacturing,other manufacturing industries,800
2020,construction,construction,2700
2020,services,wholesale and retail trade,5300
2020,services,transportation and storage,1700
2020,services,accommodation and food services,4100
2020,services,information and communications,4500
2020,services,financial and insurance services,4300
2020,services,real estate services,1100
2020,services,professional services,3200
2020,services,administrative and support services,4000
2020,services,"community, social and personal services",11600
2020,others,others,300
