"Time","Food..Beverages...Tobacco","Paper.Rubber.Plastic.Products...Printing","Petroleum..Chemical...Pharmaceutical.Products","Fabricated.Metal.Products..Machinery...Equipment","Electronic..Computer...Optical.Products","Transport.Equipment","Other.Manufacturing.Industries","Construction","Wholesale.Trade","Retail.Trade","Land.Transport...Supporting.Services","Water.Transport...Supporting.Services","Air.Transport...Supporting.Services","Other.Transportation...Storage.Services","Accommodation","Food...Beverage.Services","Telecommunications..Broadcasting...Publishing","IT...Other.Information.Services","Financial.Services","Insurance.Services","Real.Estate.Services","Legal..Accounting...Management.Services","Architectural...Engineering.Services","Other.Professional.Services","Security...Investigation","Cleaning...Landscaping","Other.Administrative...Support.Services","Public.Administration...Education","Health...Social.Services","Arts..Entertainment...Recreation","Other.Community..Social...Personal.Services","Others"
2013.5,495.833333333333,500,500,1766.66666666667,1637.5,1533.33333333333,1104.16666666667,3841.66666666667,3270.83333333333,2958.33333333333,779.166666666667,750,995.833333333333,887.5,1466.66666666667,3550,604.166666666667,941.666666666667,2283.33333333333,504.166666666667,1954.16666666667,1237.5,1133.33333333333,712.5,1141.66666666667,1379.16666666667,1025,7129.16666666667,3191.66666666667,1091.66666666667,1425,495.833333333333
2013.75,820.833333333333,375,495.833333333333,2558.33333333333,1320.83333333333,1620.83333333333,925,4004.16666666667,3995.83333333333,4108.33333333333,1012.5,854.166666666667,816.666666666667,1237.5,1762.5,6341.66666666667,487.5,1445.83333333333,2775,395.833333333333,2516.66666666667,1525,1141.66666666667,687.5,2004.16666666667,1975,1537.5,7104.16666666667,3150,1891.66666666667,1487.5,733.333333333333
2014,804.166666666667,395.833333333333,412.5,2083.33333333333,1670.83333333333,1229.16666666667,804.166666666667,3937.5,3629.16666666667,3862.5,970.833333333333,483.333333333333,1145.83333333333,1262.5,1645.83333333333,5670.83333333333,729.166666666667,1529.16666666667,2587.5,387.5,2033.33333333333,1100,704.166666666667,600,1879.16666666667,1662.5,1558.33333333333,5945.83333333333,3787.5,1191.66666666667,1570.83333333333,387.5
2014.25,833.333333333333,491.666666666667,620.833333333333,1891.66666666667,1975,1458.33333333333,795.833333333333,3454.16666666667,3858.33333333333,3954.16666666667,1108.33333333333,850,670.833333333333,1587.5,1625,5316.66666666667,591.666666666667,1795.83333333333,3483.33333333333,504.166666666667,2358.33333333333,1770.83333333333,816.666666666667,587.5,1858.33333333333,1766.66666666667,1862.5,6454.16666666667,4204.16666666667,1104.16666666667,1291.66666666667,400
2014.5,475,616.666666666667,491.666666666667,2179.16666666667,2491.66666666667,1466.66666666667,925,3483.33333333333,3975,3837.5,1200,1145.83333333333,729.166666666667,1575,1870.83333333333,5237.5,562.5,1650,3620.83333333333,500,2225,1525,929.166666666667,591.666666666667,2091.66666666667,1854.16666666667,1308.33333333333,7200,5287.5,1245.83333333333,1441.66666666667,475
2014.75,1116.66666666667,370.833333333333,625,2791.66666666667,1845.83333333333,1700,891.666666666667,3808.33333333333,4687.5,4641.66666666667,1000,604.166666666667,875,1662.5,1983.33333333333,6591.66666666667,587.5,2083.33333333333,3708.33333333333,387.5,2495.83333333333,2183.33333333333,1250,591.666666666667,2195.83333333333,1820.83333333333,1975,6441.66666666667,4479.16666666667,1508.33333333333,991.666666666667,608.333333333333
2015,795.833333333333,395.833333333333,504.166666666667,2008.33333333333,1570.83333333333,1537.5,612.5,3625,3883.33333333333,3504.16666666667,1075,504.166666666667,1066.66666666667,1329.16666666667,1950,5920.83333333333,720.833333333333,1962.5,3075,404.166666666667,2020.83333333333,2554.16666666667,779.166666666667,916.666666666667,1966.66666666667,1745.83333333333,1445.83333333333,5766.66666666667,4325,879.166666666667,2250,487.5
2015.25,625,491.666666666667,620.833333333333,1745.83333333333,2591.66666666667,945.833333333333,820.833333333333,3179.16666666667,4666.66666666667,2937.5,995.833333333333,733.333333333333,1329.16666666667,1566.66666666667,1858.33333333333,5920.83333333333,595.833333333333,2354.16666666667,3375,287.5,2404.16666666667,3075,825,933.333333333333,2637.5,1854.16666666667,1237.5,5891.66666666667,4791.66666666667,1029.16666666667,2637.5,391.666666666667
2015.5,616.666666666667,404.166666666667,716.666666666667,1275,1975,750,829.166666666667,3291.66666666667,4516.66666666667,3954.16666666667,1241.66666666667,462.5,958.333333333333,1445.83333333333,1883.33333333333,5316.66666666667,587.5,2650,3858.33333333333,416.666666666667,1912.5,2608.33333333333,791.666666666667,925,2345.83333333333,1862.5,1579.16666666667,7483.33333333333,4425,916.666666666667,1675,354.166666666667
2015.75,1016.66666666667,287.5,391.666666666667,1250,1525,1333.33333333333,900,3091.66666666667,3879.16666666667,3004.16666666667,662.5,395.833333333333,900,1525,1950,6404.16666666667,1054.16666666667,2479.16666666667,3033.33333333333,508.333333333333,2691.66666666667,2125,900,687.5,2583.33333333333,1570.83333333333,1129.16666666667,5808.33333333333,2966.66666666667,1166.66666666667,1741.66666666667,679.166666666667
2016,829.166666666667,191.666666666667,512.5,1095.83333333333,1479.16666666667,1658.33333333333,695.833333333333,1837.5,3050,3325,695.833333333333,316.666666666667,816.666666666667,1320.83333333333,1733.33333333333,4425,808.333333333333,1737.5,3366.66666666667,383.333333333333,1950,1995.83333333333,800,587.5,2500,1362.5,1225,4383.33333333333,2650,1120.83333333333,1945.83333333333,350
2016.25,800,279.166666666667,358.333333333333,1225,1354.16666666667,854.166666666667,775,1808.33333333333,2704.16666666667,3420.83333333333,791.666666666667,183.333333333333,770.833333333333,1325,1741.66666666667,4354.16666666667,829.166666666667,1995.83333333333,2733.33333333333,616.666666666667,1075,1870.83333333333,650,791.666666666667,2391.66666666667,1079.16666666667,1108.33333333333,4741.66666666667,3141.66666666667,945.833333333333,1816.66666666667,258.333333333333
