Time,Exports Goods,Imports Goods,Exports Services Manufacturing,Exports Services Maintenance And Repair,Exports Services Transport,Exports Services Travel,Exports Services Insurance,Exports Services Government Goods And Services,Exports Services Construction,Exports Services Financial,"Exports Services Telecommunications, Computer & Information",Exports Services Charges For The Use Of Intellectual Property,"Exports Services Personal, Cultural And Recreational",Exports Services Other Business Services,Imports Services Manufacturing,Imports Services Maintenance And Repair,Imports Services Transport,Imports Services Travel,Imports Services Insurance,Imports Services Government Goods And Services,Imports Services Construction,Imports Services Financial,"Imports Services Telecommunications, Computer & Information",Imports Services Charges For The Use Of Intellectual Property,"Imports Services Personal, Cultural And Recreational",Imports Services Other Business Services
  2016 1Q,120026.2,90916.4,67.5,1861.1,13600.5,5933,1566.1,101.4,307.4,7101.4,4357.8,2248.8,180.4,12630.8,1840.1,223.9,14610.3,8003.7,1560.5,105.9,143.6,1607.1,4456.8,5227.6,130.3,15838.6
  2015 4Q,136183.7,103229.6,86.3,2442.4,15387.1,5597.1,1356.6,98.8,306.2,7937.7,3092.3,2987.2,232.1,13823.5,2078.8,213.5,16321.3,8629.5,1023.9,69.4,119.6,1593.5,3761.1,6747.1,174.7,15791.3
  2015 3Q,136164.1,106010.2,86.2,2382.2,16371.9,6213.8,1310,99.1,298.8,7018,3072.2,2864.1,212.1,13588.9,2075.8,255.8,16447.3,7866.4,1168.8,56.3,107.9,1568.3,3718.9,6803.3,170.2,15124.3
  2015 2Q,137023.6,106872.6,88.2,2315.4,16108.5,5392.7,1325.8,99.5,290.3,7044,3040.5,3220,200.3,13248.4,2122.1,229.1,16587,8238.6,1103.5,47.6,121.1,1450,3717,6808.1,170,15135.2
  2015 1Q,135365,101356.1,85.8,2175.2,16229.6,5641.9,1320.3,99.6,276.9,6880,2994,2822.8,208.3,12650.1,2064.5,230.9,16256,7790.4,1080.5,101.4,118.3,1582.2,3735.2,6313.5,170.3,15240.1
  2014 4Q,141653.9,111326.5,107,2188.4,15917.7,5893.1,1000.9,98.4,380.1,8291.5,2611.6,1120,214.8,12410.8,1978.1,205.8,14641.8,8283.6,832.9,67.5,124.6,1550.7,5195.1,7090.6,163.1,14222.8
  2014 3Q,144338.7,113875.9,106.3,2465,16238.1,6130.3,1050.8,98.8,372.9,6457.1,2534.5,1247.3,196.6,12038.5,1964.6,243.9,14385.7,7616.9,848.2,57.1,127.5,1332.8,5077.2,6668.1,152.5,13438.5
  2014 2Q,146206.5,119576.4,107,2192.6,16239.8,5853.5,1107.6,99,356.7,5930,2470.3,1259.7,188,11908.3,1978.7,215.7,14580.4,8336.8,1069.6,54.6,124,1219.4,4994.1,6412.1,155.7,13566.5
  2014 1Q,138752.3,116325.8,104.1,3007.1,15523.2,6400.5,1082.2,99.1,364.7,5985.9,2478.2,1326.5,202,11386.7,1925.4,215.3,14214.4,8131.4,858.7,115.9,121.5,1399.1,5044.8,6282.1,154,13737.8
  2013 4Q,145339.2,118929.8,74.2,2870.3,15142,5856.4,926.9,98.2,562,6923.7,2456.5,1102.1,169.3,10345.1,1702.3,198.2,12720.3,8127.4,1037.2,73.8,179.8,1381.7,2926.4,7177.6,148.2,12894.4
  2013 3Q,148262.8,124162,71.6,3087.5,14993.6,6397.4,836.1,97.9,540.5,5500.2,2409.1,1020.7,160.8,10279.2,1643.3,233.5,12573.2,7493.7,1025.8,63.5,172.2,1098.6,2949,7696.6,146,12065.9
  2013 2Q,145807.2,119787.1,72.3,2486.5,14746,5902.3,887.6,97.3,515.7,5817.2,2351.3,1121.9,149.8,10203.2,1660.4,206.4,12421,7600.6,1115.8,53.1,165.2,1123.1,2975.7,7017.8,145.5,12117.8
  2013 1Q,133668,111623.7,65.1,2322.9,12949.3,5907.2,983.9,98.1,517.4,5370,2335.4,1027.8,156.6,9713.2,1494.5,207.1,11566.2,7318.6,1078.5,96.6,162.6,1043.8,2941.5,6877.9,144.4,12073
  2012 4Q,136472.8,114936.5,62,2176.3,14001.4,6087.5,749.6,96.2,499.3,5812.3,2038.7,943,158.4,10196.1,1329.3,196.3,11267.2,7876,781.7,70.4,174.4,1104.2,2349.4,7072.5,142.2,10173.3
