Time,Mini-Marts & Convenience Stores Index,Food & Alcohol Index,Motor Vehicles Index,Petrol Service Stations Index,"Cosmetics, Toiletries & Medical Goods Index",Wearing Apparel & Footwear Index,Furniture & Household Equipment Index,Recreational Goods Index,Watches & Jewellery Index,Computer & Telecommunications Equipment Index,Optical Goods & Books Index,Retail Sales Others Index
  2000 3Q,56.6,65.6,85.6,75.8,34.7,65.3,78.6,84.8,51.4,106.5,90.3,56.5
  2000 2Q,55.7,60.2,80.4,70.3,36.1,59.2,76.7,92.7,51.9,112.6,85.9,56.5
  2000 1Q,57.4,89.5,65.7,68.7,36.8,74.8,85.2,88.7,52.2,105.9,88.9,56.2
  1999 4Q,56.8,63.4,58.3,67.3,35.9,72.8,86.3,104.2,60.3,85,95.8,54.8
  1999 3Q,54.7,64.7,59.2,65.1,32.9,60,77.2,86.8,54.1,79.7,81,52.4
  1999 2Q,54.2,58.4,50.3,63.4,33.1,59.4,73.7,85.4,53,81.9,77.7,51.4
  1999 1Q,56.8,80.8,37.6,59.5,31.5,69.1,78.4,78.3,53.3,72.1,77.9,49.5
  1998 4Q,56.2,59.5,37.5,63.7,31.5,61.4,80.7,84.5,56.8,66,85.1,50.2
  1998 3Q,57.4,54.7,37.1,68.5,31.2,51.2,67.4,74.4,46.9,68.9,71.3,48.5
  1998 2Q,56.7,55,42.4,70,29.7,53,69.4,75.7,45.5,80.2,72.4,58.5
  1998 1Q,58.7,78.3,33.3,71.7,30.4,61.9,76.2,77.1,54,89.7,80.2,54.6
  1997 4Q,57.7,68.2,33.1,69.4,31.4,65.9,82,93.2,68.7,104.6,90.1,51.9
  1997 3Q,56.2,77.6,42.6,69.9,32.9,61.5,71.1,86.7,72.4,115.1,82.9,53.3
  1997 2Q,55.7,72.2,39.8,68,31.4,57.1,70.5,88.3,59.1,108.1,81.5,55.6
  1997 1Q,58.4,103.8,40.6,69.5,32.3,71.5,74.3,93.2,73,114.4,86.2,56.7
  1996 4Q,56.7,76.2,47.2,72.6,32.6,77.5,79.3,104,71.3,102.1,91,59.5
  1996 3Q,54.3,77.6,44.7,72.8,30.8,64.6,64.1,80.7,55.3,105.6,77.9,59.9
  1996 2Q,52.4,74.7,46.9,69.4,28.9,57.2,61.3,71.4,52.8,113.6,76.6,54.3
  1996 1Q,57,103.7,53.1,66.8,30.4,73.6,67.6,70.6,66.5,97.1,77.5,58.1
  1995 4Q,54.8,80.8,49.3,66.4,30.2,71.5,68.4,79.9,69.1,92.4,83,56.1
  1995 3Q,54.1,80.3,52.6,68,30.4,62.9,58.9,66,57.6,83.5,70.6,58.4
  1995 2Q,52.6,75.2,52.5,65.2,29.2,59.7,54.9,65.4,54.5,78.3,67.7,53.5
  1995 1Q,55.8,93.6,60.3,63.4,29.2,75,62.2,75,62.9,62.5,69.5,58.4
  1994 4Q,55.3,83.2,49.9,65.4,28.7,76.9,62.4,90.7,67.5,54.7,78.8,60.4
  1994 3Q,53.4,76.5,52.8,65.3,28.7,66.9,53.8,84,57.6,48.5,66.8,57.1
  1994 2Q,48.1,74.1,47.7,63.1,25.6,58.1,46.4,76.7,47.4,36.1,61.1,50.3
  1994 1Q,55.2,99.5,65.2,61.7,29.8,75.4,76.7,95.7,87.1,41.7,69.9,68.6
  1993 4Q,52.8,83.1,49.3,64.8,27,73.1,68.1,101.2,74.3,31.7,73.5,63.9
  1993 3Q,51.4,76.5,54.5,63.9,25.7,62.6,57.3,90.7,61.5,30.3,59.9,59.8
  1993 2Q,50.2,69.5,55.2,62.7,24,57.1,51.4,100.5,66.3,32.2,57.2,60.4
  1993 1Q,53.5,76.2,56,62,24,66.6,58,99.7,84.7,28.5,58.8,69.7
